Date_Time,Sensor_Depth_feet
11/21/22 04:55:43 PM,0.150
11/21/22 05:10:43 PM,0.153
11/21/22 05:25:43 PM,0.161
11/21/22 05:40:43 PM,0.157
11/21/22 05:55:43 PM,0.152
11/21/22 06:10:43 PM,0.150
11/21/22 06:25:43 PM,0.154
11/21/22 06:40:43 PM,0.156
11/21/22 06:55:43 PM,0.145
11/21/22 07:10:43 PM,0.150
11/21/22 07:25:43 PM,0.154
11/21/22 07:40:43 PM,0.147
11/21/22 07:55:43 PM,0.147
11/21/22 08:10:43 PM,0.143
11/21/22 08:25:43 PM,0.143
11/21/22 08:40:43 PM,0.138
11/21/22 08:55:43 PM,0.143
11/21/22 09:10:43 PM,0.140
11/21/22 09:25:43 PM,0.137
11/21/22 09:40:43 PM,0.138
11/21/22 09:55:43 PM,0.141
11/21/22 10:10:43 PM,0.142
11/21/22 10:25:43 PM,0.142
11/21/22 10:40:43 PM,0.146
11/21/22 10:55:43 PM,0.142
11/21/22 11:10:43 PM,0.143
11/21/22 11:25:43 PM,0.139
11/21/22 11:40:43 PM,0.139
11/21/22 11:55:43 PM,0.135
11/22/22 12:10:43 AM,0.139
11/22/22 12:25:43 AM,0.138
11/22/22 12:40:43 AM,0.138
11/22/22 12:55:43 AM,0.138
11/22/22 01:10:43 AM,0.130
11/22/22 01:25:43 AM,0.130
11/22/22 01:40:43 AM,0.134
11/22/22 01:55:43 AM,0.129
11/22/22 02:10:43 AM,0.133
11/22/22 02:25:43 AM,0.136
11/22/22 02:40:43 AM,0.137
11/22/22 02:55:43 AM,0.130
11/22/22 03:10:43 AM,0.122
11/22/22 03:25:43 AM,0.124
11/22/22 03:40:43 AM,0.124
11/22/22 03:55:43 AM,0.136
11/22/22 04:10:43 AM,0.127
11/22/22 04:25:43 AM,0.123
11/22/22 04:40:43 AM,0.123
11/22/22 04:55:43 AM,0.130
11/22/22 05:10:43 AM,0.128
11/22/22 05:25:43 AM,0.134
11/22/22 05:40:43 AM,0.120
11/22/22 05:55:43 AM,0.122
11/22/22 06:10:43 AM,0.121
11/22/22 06:25:43 AM,0.125
11/22/22 06:40:43 AM,0.126
11/22/22 06:55:43 AM,0.120
11/22/22 07:10:43 AM,0.125
11/22/22 07:25:43 AM,0.120
11/22/22 07:40:43 AM,0.120
11/22/22 07:55:43 AM,0.120
11/22/22 08:10:43 AM,0.113
11/22/22 08:25:43 AM,0.117
11/22/22 08:40:43 AM,0.116
11/22/22 08:55:43 AM,0.115
11/22/22 09:10:43 AM,0.123
11/22/22 09:25:43 AM,0.123
11/22/22 09:40:43 AM,0.109
11/22/22 09:55:43 AM,0.121
11/22/22 10:10:43 AM,0.104
11/22/22 10:25:43 AM,0.103
11/22/22 10:40:43 AM,0.105
11/22/22 10:55:43 AM,0.107
11/22/22 11:10:43 AM,0.101
11/22/22 11:25:43 AM,0.104
11/22/22 11:40:43 AM,0.102
11/22/22 11:55:43 AM,0.100
11/22/22 12:10:43 PM,0.110
11/22/22 12:25:43 PM,0.106
11/22/22 12:40:43 PM,0.112
11/22/22 12:55:43 PM,0.110
11/22/22 01:10:43 PM,0.107
11/22/22 01:25:43 PM,0.111
11/22/22 01:40:43 PM,0.111
11/22/22 01:55:43 PM,0.113
11/22/22 02:10:43 PM,0.109
11/22/22 02:25:43 PM,0.117
11/22/22 02:40:43 PM,0.111
11/22/22 02:55:43 PM,0.121
11/22/22 03:10:43 PM,0.120
11/22/22 03:25:43 PM,0.113
11/22/22 03:40:43 PM,0.108
11/22/22 03:55:43 PM,0.126
11/22/22 04:10:43 PM,0.125
11/22/22 04:25:43 PM,0.123
11/22/22 04:40:43 PM,0.131
11/22/22 04:55:43 PM,0.133
11/22/22 05:10:43 PM,0.130
11/22/22 05:25:43 PM,0.127
11/22/22 05:40:43 PM,0.130
11/22/22 05:55:43 PM,0.134
11/22/22 06:10:43 PM,0.134
11/22/22 06:25:43 PM,0.135
